id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
56766,Amazing duplex-terrace in old Lyon,269557,Isabelle,,5e Arrondissement,45.76312,4.82813,Entire home/apt,120,30,55,2018-09-04,0.38,1,91,0,"Available with a mobility lease only (""bail mobilité"")"
77104,Nice Flat in the center of Lyon,411285,Clementine,,1er Arrondissement,45.76842,4.82745,Entire home/apt,100,2,21,2022-06-09,0.15,1,142,1,6938113058353
134539,"Centre of old town,home sweet home",660135,Polali,,5e Arrondissement,45.7593,4.82548,Entire home/apt,80,2,121,2022-05-29,0.89,1,71,3,6938513221658
136556,At home near Les Halles Paul Bocuse,668524,Nathalie,,3e Arrondissement,45.76346,4.85338,Entire home/apt,99,3,2,2021-06-10,0.02,1,140,0,0693831600055
137132,"Bel apartment, 2 rooms, Lyon center",670404,Sandrine,,6e Arrondissement,45.76996,4.85332,Entire home/apt,88,200,20,2019-12-28,0.15,1,0,0,0693861800177
174304,Apartment in the heart of the city,832917,Giuseppina,,1er Arrondissement,45.76695,4.83241,Entire home/apt,160,2,358,2022-09-04,2.90,2,151,55,6938112368465
233372,Clear &very central flat Vieux Lyon,1221417,Max,,5e Arrondissement,45.75935,4.82228,Entire home/apt,52,2,223,2022-09-12,1.69,1,302,16,6938512680042
249711,very pleasant and located idealment,1308521,Anaïs,,7e Arrondissement,45.75207,4.83978,Entire home/apt,210,2,22,2022-07-13,0.17,2,355,2,D202109230976
251630,Studio apartment near opera city centre,1319577,Emmanuel,,1er Arrondissement,45.77047,4.834133,Entire home/apt,40,15,3,2021-06-16,0.04,1,274,0,6938113043606
298089,triple room in a big flat,1221016,Romain,,3e Arrondissement,45.75775,4.87644,Private room,25,1,104,2020-01-30,0.81,8,0,0,693801234841
327347,Lyon - close to Park tête d'or,1030438,Aude & Elise,,6e Arrondissement,45.77478,4.86226,Entire home/apt,63,2,23,2016-06-25,0.18,1,135,0,
329950,Roomy and luminous apartment,1683652,NATHALIE Et ALAIN,,3e Arrondissement,45.7467,4.87099,Entire home/apt,75,4,21,2022-06-20,0.18,1,13,1,6938312655352
342674,"★SAXE & THE CITY★ 90m², Quiet, Balcony, Clean++ ❤️",1738855,Yoann & Ida,,3e Arrondissement,45.75383,4.84758,Entire home/apt,155,1,267,2022-08-10,2.15,1,272,33,6938312360788
