latitude,longitude
48.88073,2.34297
48.88408,2.33478
48.85247,2.35835
48.86341,2.35837
48.85909,2.35315
48.8809,2.30388
48.855,2.38802
48.85357,2.29232
48.85642,2.39748
48.86358,2.35057
48.87456,2.38532
48.86458,2.39735
48.87417,2.34245
48.87173,2.29071
48.89173,2.38043
48.86006,2.34863
48.86373,2.37093
48.88564,2.37205
48.89153,2.35359
48.85069,2.37311
48.83936,2.35849
48.86715,2.34983
48.87342,2.37798
48.87134,2.36968
48.85699,2.28813
48.82399,2.32151
48.84853,2.3712
48.86469,2.34732
48.85284,2.32517
48.887,2.34531
48.854095,2.328356
48.88725,2.34518
48.8357,2.40168
48.85274,2.34396
48.86656,2.36826
48.87109,2.37376
48.88303,2.366308
48.88494,2.33997
48.85367,2.37656
48.87417,2.38581
48.8491,2.38975
48.85088,2.35683
48.86441,2.37139
48.88599,2.35106
48.8246,2.3667
48.85186,2.3857
48.87068,2.3446
48.85719,2.37831
48.86298,2.38666
48.85348,2.36305
48.86159,2.37952
48.8722,2.37595
48.87509,2.37032
48.88259,2.34251
48.87438,2.37215
48.88541,2.34495
48.88694,2.3093
48.85634,2.35695
48.87294,2.38509
48.86652,2.36261
48.86564,2.33184
48.87826,2.33771
48.88849,2.37747
48.86954,2.36702
48.88489,2.343
48.89015,2.34411
48.83482,2.36331
48.8522,2.34114
48.88857,2.35504
48.89772,2.38508
48.85539,2.36306
48.87361,2.38511
48.84924,2.27496
48.87006,2.34543
48.87172,2.36184
48.88697,2.37804
48.86711,2.34034
48.87573,2.32662
48.8445,2.25761
48.88297,2.33456
48.86185,2.3434
48.82463,2.36274
48.86644,2.33115
48.85316,2.36474
48.84907,2.30004
48.88719,2.34735
48.83811,2.3541
48.85737,2.32526
48.83839,2.35371
48.86802,2.40505
48.83797,2.40058
48.8574,2.35766
48.83835,2.35398
48.88985,2.35066
48.86774,2.35947
48.88927,2.35903
48.88047,2.3431
48.8644,2.34986
48.86544,2.34691
48.87039,2.32273
48.85852,2.3698
48.85424,2.34975
48.85614,2.35878
48.89387,2.35023
48.84555,2.32132
48.86633,2.33464
48.87455,2.37892
48.86793,2.34549
48.87386,2.38231
48.87415,2.36389
48.83999,2.30401
48.87485,2.3507
48.86834,2.3724
48.8716,2.35437
48.86189,2.3629
48.86053,2.35763
48.87148,2.28996
48.84851,2.35321
48.89498,2.38541
48.87219,2.376
48.88608,2.33352
48.86167,2.35974
48.86919,2.34681
48.87792,2.35936
48.827,2.36957
48.87322,2.3805
48.8764,2.36305
48.8388,2.35292
48.86712,2.34274
48.86879,2.36664
48.87573,2.29381
48.86558,2.37068
48.84765,2.38669
48.84942954871056,2.3490227889120128
48.84751,2.35461
48.87432,2.30832
48.84497,2.40726
48.85751,2.334
48.85043,2.34916
48.88584,2.38837
48.8629,2.34896
48.87195,2.40746
48.87035,2.35786
48.87518,2.3809
48.88726,2.32258
48.85626,2.32623
48.87212,2.38198
48.88561,2.38427
48.87248,2.385
48.86371,2.33994
48.88636,2.33887
48.8912,2.33785
48.86103,2.35437
48.83692,2.34679
48.85824,2.35839
48.85881,2.34993
48.8754,2.34238
48.8582,2.35849
48.85687,2.35027
48.87983,2.39372
48.84919,2.3786
48.87392,2.3553
48.8248,2.3337
48.85599,2.36228
48.86818,2.37848
48.86462,2.34386
48.82513,2.3702
48.86991,2.40193
48.84596,2.34151
48.84784,2.29554
48.88756,2.29781
48.87143,2.36354
48.83245,2.36658
48.88782,2.32629
48.86434,2.37583
48.883,2.3348
48.83363,2.36524
48.88622,2.31771
48.87069,2.37915
48.88377,2.34424
48.87131,2.38848
48.84859,2.39318
48.83918,2.34699
48.85844,2.35694
48.8844,2.36091
48.84906,2.29249
48.86371,2.35578
48.86987,2.33594
48.88422,2.36752
48.8759,2.38957
48.88415,2.34378
48.86239,2.35572
48.85558,2.33119
48.88238,2.33831
48.85305,2.33194
48.86033,2.34005
48.8608,2.3661
48.85472,2.3393
48.84697,2.32679
48.84866,2.27535
48.88464,2.33838
48.86646,2.33651
48.86966,2.36225
48.86116,2.36386
48.88363,2.34667
48.83052,2.35193
48.87373,2.37575
48.8624,2.35855
48.8977,2.34268
48.86706,2.34726
48.87321,2.38981
48.83572,2.33054
48.86473,2.36387
48.86657,2.34502
48.85484,2.3897
48.8309,2.32582
48.85523,2.37332
48.83271,2.31569
48.86387,2.34802
48.86107,2.36545
48.87172,2.34845
48.87413,2.28443
48.82845,2.35727
48.86346,2.35382
48.84537,2.38132
48.84968,2.38144
48.85294,2.37536
48.88853,2.35335
48.85134,2.29804
48.8742,2.297
48.87114,2.32606
48.873074,2.350599
48.8445,2.35261
48.88221,2.36589
48.85498,2.38222
48.86534,2.29942
48.86259,2.37494
48.83913,2.3466
48.84906,2.38076
48.8793,2.29456
48.85133,2.34985
48.85364,2.36413
48.86918,2.36945
48.89039,2.38449
48.87473,2.36061
48.89323,2.32303
48.87933,2.3851
48.87252,2.39298
48.85803,2.36544
48.8495,2.28936
48.85395,2.37586
48.89187,2.36451
48.87824,2.34047
48.88457,2.38151
48.86869,2.33542
48.88282,2.33746
48.88862,2.34908
48.88578,2.33424
48.82971,2.35404
48.88452,2.35938
48.8641,2.37485
48.86788,2.38289
48.85353,2.38679
48.87278,2.36478
48.86365,2.33241
48.856,2.39701
48.8671,2.38307
48.87231,2.38938
48.84393,2.32995
48.87779,2.38442
48.84166,2.3527
48.88849,2.3472
48.85589,2.35949
48.87121,2.35996
48.8745,2.38198
48.88895,2.36048
48.83742,2.42177
48.83855,2.3105
48.83297,2.29602
48.89122,2.35487
48.86822,2.38788
48.88676,2.33353
48.86137,2.37329
48.86127,2.38139
48.88869,2.37596
48.8847,2.34511
48.8544,2.33694
48.87241,2.31465
48.87325,2.35321
48.85595,2.38588
48.87797,2.29403
48.85434,2.37215
48.85435,2.4051
48.84696,2.31751
48.88962,2.33836
48.84372,2.31758
48.85746,2.35539
48.83754,2.34601
48.84737,2.37732
48.88572,2.35045
48.87974,2.39384
48.83201,2.36715
48.86254,2.35408
48.83106,2.32642
48.85997,2.3439
48.86825,2.35107
48.84801,2.34959
48.86279,2.37042
48.86064,2.35732
48.87278,2.37221
48.884125,2.34065
48.86183,2.3621
48.87463,2.35182
48.89002,2.38395
48.85762,2.37363
48.883,2.3263
48.8636,2.35515
48.87105,2.36251
48.82818,2.35253
48.85647,2.35956
48.88707,2.38542
48.875820887520085,2.373493658936141
48.88903,2.36054
48.84102,2.3297
48.87866,2.34288
48.89574,2.3463
48.89009,2.37554
48.8601,2.362073
48.86198,2.30623
48.88511,2.33756
48.84701,2.40241
48.87131,2.39592
48.86944,2.35107
48.85985,2.35517
48.86971,2.39075
48.89426,2.30599
48.85004,2.35701
48.88911,2.35494
48.85056,2.37395
48.85872,2.38736
48.85751,2.35511
48.85508,2.36636
48.863,2.36173
48.87151,2.37219
48.83483,2.33058
48.84497,2.35311
48.83593,2.35108
48.86399,2.35963
48.8668,2.30972
48.88285,2.33462
48.86102,2.36525
48.88638,2.3451
48.83923,2.32981
48.86517,2.37647
48.83757,2.25415
48.88996,2.31612
48.87424,2.37211
48.84026,2.34812
48.88123,2.34457
48.86261,2.35
48.8503,2.39179
48.87545,2.36448
48.85164,2.33903
48.87443,2.39064
48.885738,2.340673
48.86743,2.37696
48.86732,2.38175
48.84563,2.31879
48.83921,2.40007
48.88411,2.33932
48.86977,2.38433
48.86854,2.34232
48.8745,2.37828
48.86886,2.34926
48.86922,2.35445
48.88225,2.36403
48.87057,2.39617
48.85842,2.36325
48.85304,2.35379
48.88346,2.34579
48.879,2.34732
48.87269,2.36104
48.86135,2.40335
48.85324,2.3684
48.84764,2.34034
48.85107,2.3856
48.87954,2.34131
48.88669,2.34435
48.85244,2.34553
48.8831,2.30383
48.8632,2.38157
48.88316,2.35053
48.82406,2.35557
48.86477,2.27763
48.85626,2.36303
48.85413,2.36258
48.86148,2.36577
48.86158,2.35048
48.86655,2.34731
48.83324,2.32978
48.82421,2.31824
48.82643,2.32947
48.84982,2.30228
48.85957,2.27616
48.84609,2.26211
48.88685,2.34494
48.85853,2.37472
48.86557,2.3475
48.85176,2.38742
48.88181,2.3348
48.89004,2.33976
48.84774,2.39712
48.85002,2.34919
48.87695,2.37909
48.88679,2.33384
48.869,2.37585
48.86572,2.35025
48.89122,2.35425
48.87488,2.28042
48.85759,2.39814
48.86364,2.38798
48.84107,2.34262
48.85718,2.38794
48.86624,2.34412
48.84411,2.30928
48.85661,2.35882
48.85909,2.3665
48.85249,2.36294
48.86723,2.35212
48.88964,2.34167
48.84313,2.3521
48.86547,2.36113
48.8702,2.32368
48.85028,2.31719
48.84645,2.30473
48.82789,2.31624
48.86529,2.27509
48.8531,2.28877
48.89136,2.34171
48.85344,2.30976
48.82398,2.35729
48.85835,2.3985
48.88301,2.33473
48.87158,2.34681
48.85439,2.39
48.87271,2.36037
48.83341,2.29243
48.88138,2.37157
48.86025,2.35554
48.85885,2.35713
48.88212,2.33821
48.83748,2.34972
48.87369918823242,2.359437942504883
48.84949,2.37212
48.85956,2.35553
48.866,2.38599
48.84882,2.2688
48.87783,2.33634
48.85984,2.36462
48.87008,2.34781
48.85627,2.33334
48.86793,2.38222
48.87123,2.34981
48.86034,2.37299
48.84028,2.39496
48.89079,2.32146
48.88659,2.32031
48.86084,2.37873
48.85839,2.37644
48.86557,2.35195
48.86875,2.37225
48.869,2.38833
48.8613,2.36267
48.851,2.38704
48.86906,2.37053
48.88583,2.33502
48.85024,2.36295
48.86649,2.3975
48.8563,2.28627
48.88533,2.32778
48.84345,2.386
48.888103,2.348509
48.84001,2.34101
48.86937,2.37121
48.88212,2.33318
48.85817,2.36613
48.88400711938036,2.347386299876581
48.8721,2.36264
48.86407,2.34869
48.89257,2.33794
48.85674,2.36291
48.8712,2.38268
48.84715,2.35365
48.86771,2.36126
48.87089,2.389
48.8754,2.38566
48.86453,2.28628
48.85295,2.33562
48.82602,2.37264
48.86763,2.35813
48.87913,2.34552
48.8668,2.33869
48.86974,2.38559
48.88364,2.32747
48.86874,2.37856
48.8823500532193,2.3065138506061325
48.85941,2.34486
48.87051,2.3668
48.83767,2.28049
48.87381,2.35145
48.88782,2.38056
48.86811,2.39738
48.84709,2.30249
48.83774,2.34425
48.85577,2.39796
48.88092,2.34441
48.88794,2.38684
48.85945,2.37683
48.86781,2.3702
48.8569,2.35985
48.87761,2.36169
48.85519,2.375538
48.892,2.34448
48.88579,2.33648
48.87287,2.37204
48.89162,2.34094
48.88522,2.37146
48.86156,2.35201
48.85112,2.32897
48.85653,2.33766
48.87216,2.36661
48.85592,2.35769
48.85259,2.31288
48.88942,2.34378
48.85546,2.37112
48.84329,2.30042
48.8569,2.358
48.87218,2.39045
48.89343,2.36078
48.87602,2.34992
48.87838,2.33811
48.89065,2.34188
48.8571,2.35957
48.83774,2.32065
48.86146,2.36567
48.85232,2.37299
48.86923,2.39234
48.88718,2.34005
48.85817,2.37757
48.84028,2.39496
48.89267,2.34263
48.83352,2.31281
48.85636,2.36954
48.85222,2.38331
48.85454,2.37574
48.84812,2.38886
48.85971,2.35322
48.89163,2.38282
48.89281,2.33934
48.88227,2.29488
48.86286,2.37074
48.88339,2.36471
48.86747,2.3739
48.84742,2.35293
48.84083,2.37645
48.88086,2.294
48.83273,2.3236
48.8443,2.35608
48.87194,2.38685
48.8819,2.33199
48.86185,2.35974
48.85658,2.29999
48.84639,2.3953
48.87619,2.34052
48.83872,2.40401
48.83905,2.28958
48.85586,2.40419
48.86105,2.37631
48.86282,2.3564
48.8932,2.34574
48.84936,2.37591
48.86022,2.3511
48.86797,2.37765
48.88563,2.36355
48.86494,2.35972
48.88563,2.38253
48.86105,2.37731
48.8467,2.34946
48.8944,2.32908
48.868,2.3684
48.85564,2.36743
48.88176,2.3652
48.86868,2.35093
48.82671,2.32814
48.88005,2.34316
48.88038,2.33671
48.8495,2.37844
48.87711,2.38526
48.86466,2.36215
48.87346,2.36597
48.86787,2.38606
48.88433,2.36534
48.8578,2.37304
48.88581,2.33754
48.86006,2.3499
48.8687,2.39989
48.8688,2.34998
48.858437,2.350457
48.87961,2.35151
48.85921,2.383
48.89104,2.32294
48.831,2.3176
48.84348,2.31435
48.88421,2.33625
48.83235,2.28232
48.89237,2.34343
48.88256,2.3317
48.89017,2.32921
48.85173,2.35249
48.86037,2.36152
48.87327,2.36606
48.8405,2.25897
48.85557,2.362
48.86983,2.39275
48.86091,2.37123
48.83842,2.33243
48.8613,2.40194
48.85488,2.33732
48.88582,2.34694
48.8803,2.30235
48.86969,2.36473
48.86986,2.35988
48.86904,2.28189
48.88834,2.38857
48.86292,2.33467
48.85644,2.36126
48.85646,2.3627
48.86226,2.3606
48.84062,2.28452
48.88721,2.33909
48.8674,2.38184
48.86114,2.37954
48.8629,2.33471
48.86389,2.36664
48.88771,2.31854
48.87501,2.38272
48.85377,2.3799
48.87908,2.3163
48.87027,2.37667
48.83987,2.2857
48.8655,2.35835
48.85395,2.37636
48.85637,2.36916
48.87367,2.38051
48.864113,2.353033
48.82518,2.33126
48.86698,2.38318
48.862137,2.349403
48.87578,2.38071
48.86675,2.35818
48.8563,2.37142
48.88623,2.34694
48.85358,2.37578
48.86294,2.3676
48.85557,2.33968
48.83395,2.36723
48.87102,2.36684
48.85481,2.33129
48.85479,2.3973
48.84015,2.25173
48.86649,2.36057
48.85741,2.27851
48.83709,2.29892
48.86184,2.3614
48.85302,2.34307
48.87004,2.34888
48.84044,2.34808
48.86912,2.3702
48.85468,2.36706
48.88705,2.34469
48.84772,2.3686
48.858608,2.307892
48.87,2.28304
48.87256,2.30175
48.84495,2.39656
48.86034,2.35425
48.88349,2.35931
48.85194,2.37346
48.83299,2.29199
48.87256,2.40578
48.85242,2.35647
48.86744,2.34446
48.86229,2.38923
48.88957,2.34256
48.86099,2.3517
48.85889,2.34994
48.85865,2.36977
48.85162,2.38991
48.87691,2.35607
48.89324,2.32394
48.87277,2.37248
48.86957,2.36787
48.85258,2.34757
48.85869,2.36665
48.86514,2.37183
48.8532,2.37784
48.85574,2.37736
48.85762,2.36642
48.839085,2.256316
48.86578,2.37776
48.84811,2.38948
48.84507,2.40825
48.875,2.33416
48.85006,2.37992
48.85775,2.37726
48.87712,2.29232
48.85138,2.37541
48.85645,2.37786
48.88696,2.34716
48.8297,2.35499
48.85184,2.34644
48.86319,2.28928
48.86088,2.35104
48.84895,2.37298
48.88189,2.36393
48.88848,2.34263
48.87168,2.36897
48.87101,2.40792
48.85503,2.3413
48.85895,2.29938
48.87662,2.40465
48.85518,2.3822
48.86003,2.37314
48.88245,2.3175
48.81792,2.34328
48.84202,2.29266
48.85377,2.34377
48.87786,2.38205
48.85373,2.36392
48.84779,2.29728
48.85825,2.35216
48.86269,2.38276
48.8873,2.34749
48.85797,2.39975
48.84453,2.30318
48.85647,2.27382
48.88377,2.33212
48.90112,2.35118
48.86828,2.35479
48.86724,2.35539
48.89617,2.32274
48.85755,2.33277
48.86259,2.36457
48.83597,2.32064
48.86638,2.36641
48.87588,2.32375
48.87312,2.34461
48.87515,2.38212
48.89455,2.32707
48.8644,2.36496
48.8722,2.39167
48.85302,2.37255
48.89423,2.36338
48.88466,2.35607
48.85635,2.37218
48.87219,2.40036
48.86752,2.34714
48.88613,2.34581
48.84872,2.37653
48.85747,2.33131
48.88056,2.30156
48.82957,2.32597
48.88197,2.36026
48.87207,2.38323
48.85275,2.38623
